season,episode,character,dialogue
6,23,SHELDON,"Yeah, we, now, Penny, we don’t consume alcohol during Dungeons & Dragons. It impairs our judgment."
6,23,PENNY,"Oh, this isn’t alcohol. It’s a magic potion that makes me like you."
6,23,LEONARD,"Double potion, please."
6,23,HOWARD,"Okay, here we go. You find yourselves face-to-face with two hulking ogres. What are you doing in our dungeon? You shall die!"
6,23,SHELDON,"Okay, literal goose bumps. Look."
6,23,HOWARD,What do you do?
6,23,LEONARD,I draw my broadsword.
6,23,SHELDON,I ready my quarter-staff.
6,23,PENNY,I drink my potion.
6,23,BERNADETTE,I say we attack the big one.
6,23,PENNY,"You know what? Give me the dice, I want to roll."
6,23,HOWARD,The dungeon master’s supposed to roll.
6,23,PENNY,"Yeah, well I’m supposed to be in Vegas throwing up on a shrimp buffet. Now give it. All right, what do I need?"
6,23,HOWARD,"Uh, fifteen or higher."
6,23,PENNY,"Fifteen’s the point, the point is fifteen. Give the little lady some room, here it is, coming out. Sixteen! Yes! Oh, please tell me we’re playing for money."
6,23,SHELDON,"Oh, even better than money. You gained experience points."
6,23,PENNY,"More potion, please."
6,23,LEONARD,Yeah.
6,23,RAJ,How are your crab cakes?
6,23,LUCY,Kind of funky.
6,23,RAJ,That’s great.
6,23,LUCY,It is? Does funky mean something different in India?
6,23,RAJ,"No, no. Uh, you’ve always wanted to send your food back in a restaurant, here’s your chance."
6,23,LUCY,"Mmm, it’s okay. I just won’t eat ’em."
6,23,RAJ,Don’t be ridiculous. Waiter?
6,23,WAITER,Everything all right?
6,23,LUCY,"Uh, yeah. Everything all right with you?"
6,23,WAITER,Yes.
6,23,LUCY,"‘Kay, thanks, bye."
6,23,RAJ,Hold on. Isn’t there something else you wanted to tell him?
6,23,LUCY,"N-No, it, it’s fine. Uh, He’s from a different country, he doesn’t understand our ways."
6,23,RAJ,Don’t be silly. Just tell him.
6,23,LUCY,I have to go to the bathroom. And it’s not because the crab cakes are funky.
6,23,WAITER,So you’re okay here?
6,23,RAJ,"Uh, yeah, sorry. She’s just a little shy. The first time we met, she was so nervous, she climbed out a bathroom window to get away from me."
6,23,LUCY,"Uh-oh.    Hey, Raj. Funny story."
6,23,BERNADETTE,"Come on, mama wants a pair of dead ogres."
6,23,HOWARD,"Seventeen, the larger ogre is dead. The-the other ogre says, you killed my brother, now Ogre Thanksgiving is ruined."
6,23,SHELDON,That is amazing. He made me care about the ogre.
6,23,LEONARD,"All right, Amy, there’s one ogre left. Take him out."
6,23,AMY,Okay.
6,23,PENNY,Pretend he’s that TSA agent. Come on.
6,23,AMY,"Nineteen. Yes, this is turning out to be even better than Vegas."
6,23,PENNY,"No, it’s not."
6,23,RAJ,Lucy?
6,23,LUCY,Hey. Long time no see.
6,23,RAJ,"You don’t know me very well, but each time you crawl out a bathroom window to escape my company, it chips away at my masculinity."
6,23,LUCY,I’m sorry.
6,23,RAJ,Why would you leave like that?
6,23,LUCY,"You were pushing me. I clearly didn’t want to send my food back, and you tried to make me do it anyway."
6,23,RAJ,"Okay, if I upset you, then why didn’t you just say something?"
6,23,LUCY,"Well, how can I tell you I’m upset if I can’t tell the woman at Supercuts that my forehead’s my best feature? It’s scary."
6,23,RAJ,"Yeah, well, I like you a lot, and that’s scary for me. Mostly because you’re a proven flight risk."
6,23,LUCY,How could you like me a lot?
6,23,RAJ,"Well, uh, for one thing, you have bigger emotional problems than I do, and I find that very attractive in a woman. I, I don’t know. I just, I think you’re wonderful."
6,23,LUCY,I’m sweating out of my head.
6,23,HOWARD,"The dragon falls from the sky, crashing into the volcano."
6,23,SHELDON,Yay!
6,23,HOWARD,"But wait., he’s not dead. He crawls out, spreads his wings and prepares to attack."
6,23,SHELDON,"Yeah, uh, wait. Doesn’t he say something first? You know, maybe in the voice of a beloved celebrity?"
6,23,HOWARD,"Fine.    You’d think, after all these years, I’d know not to fly over volcanoes. I’m a freaking idiot."
6,23,SHELDON,The dragon’s Christopher Walken. That’s perfect.
6,23,LEONARD,"All right, Amy, it’s your turn. We need one more hit. Finish him off."
6,23,AMY,Here we go. Fifteen?
6,23,HOWARD,It’s a hit. The dragon collapses to the ground.
6,23,SHELDON,Wait. Wait. And says?
6,23,HOWARD,Mother? Is that you? Your little boy is coming home.
6,23,SHELDON,"Oh, I don’t know about you guys, but I have been through the emotional wringer tonight."
6,23,BERNADETTE,"This may be the potion talking, but you are one fine-ass dungeon master."
6,23,HOWARD,"Oh, yeah? Well, when we get home, I’m gonna take you on a whole different adventure."
6,23,SHELDON,Another quest by Wolowitz? Count me in.
6,23,AMY,"Sheldon, they’re talking about sex."
6,23,SHELDON,"Oh, then I’m out."
6,23,PENNY,"Ooh, I have an idea. Since it’s not happening any time soon, why don’t your character and your character do it in the game?"
6,23,BERNADETTE,"Ooh! Come on, back me up here."
6,23,HOWARD,Oh.
6,23,TOGETHER,Ooh!
6,23,BERNADETTE,"Okay, I cast a love spell on Sheldon and Amy."
6,23,LEONARD,"Ooh! Sorry, I thought you were gonna do that."
6,23,HOWARD,"The love spell takes effect. When Sheldon looks at Amy, she is the most beautiful half-orc he’s ever seen, and he’s overcome with a desire to rip her armour off and gaze fondly at her four hairy breasts. When Amy sees Sheldon, he looks, well, just like Sheldon, ’cause apparently she’s into that. What do you do?"
6,23,AMY,I don’t like this.
6,23,SHELDON,You see what happens when you let girls play D&D?
6,23,AMY,What?
6,23,SHELDON,I’ve never knocked on my own door before. That was a wild ride.
6,23,AMY,You don’t have to come in here and cheer me up.
6,23,SHELDON,Thank you. Would you go tell everyone else that? Because they sure think otherwise.
6,23,AMY,I’ll tell you what they think. They think our relationship is a joke.
6,23,SHELDON,"Well, I don’t think our relationship is a joke. I think “a horse goes into a bar, bartender says, why the long face?’, that’s a joke. It’s a good one, too, because a horse has a long face."
6,23,AMY,"Sheldon, are we ever going to have an intimate relationship?"
6,23,SHELDON,"Oh, my. That’s an uncomfortable topic. Amy, before I met you, I never had any interest in being intimate with anyone."
6,23,AMY,And now?
6,23,SHELDON,And now what?
6,23,AMY,Do you have any interest now?
6,23,SHELDON,I have not ruled it out.
6,23,AMY,Wow. Talk dirty to me.
6,23,SHELDON,"I know it doesn’t seem like it to you, but, for me, what we have is extremely intimate."
6,23,AMY,"I guess I know that. It’s just, part of me wants more."
6,23,SHELDON,"More? I mean, look at us. It’s only been three years, here we are in bed together."
6,23,AMY,Come on. Let’s go back out there.
6,23,SHELDON,"Well, no. Hold on. My Elven magic-user and your half-orc warrior did have a love spell cast on them. We wouldn’t really be playing the game right if we didn’t see that through."
6,23,AMY,Okay.
6,23,SHELDON,"I believe that, uh, we just killed a dragon. While the others pillage the corpse, I lead you to a secluded area where I attempt to remove your leather armour.    It comes off."
6,23,AMY,Oh.
6,23,SHELDON,What do you do?
6,23,AMY,I kiss you on the lips.
6,23,SHELDON,I kiss you back on the    lips as well. Your turn.
6,23,AMY,I remove your armour. What do you do?
6,23,SHELDON,I erotically caress your    nose.
6,23,AMY,Keep rolling.
6,23,LEONARD,"Hey, you guys have been in there for a while. You doing okay?"
6,23,PENNY,"Okay, we just want to say, we feel really bad about…"
6,23,AMY,Go away! Sheldon is nibbling on my    14! Yes!
6,24,RAJ,"So, anyway, last night on video chat, I spent, like, twenty minutes just staring into Lucy’s eyes."
6,24,LEONARD,"Oh, that sounds romantic."
6,24,RAJ,It was until I realized the screen had frozen. Still one of my top three dates of all time.
6,24,LEONARD,"So, are we ever gonna hang out with this girl?"
