season,episode,total_dialogue_lines,total_words,total_sci_terms,avg_type_token_ratio,sci_density_per_100_words
9,10,192,2445,2,0.963,0.082
9,11,221,2219,3,0.961,0.135
9,12,234,2570,18,0.965,0.7
9,13,218,2458,0,0.961,0.0
9,14,242,2718,5,0.958,0.184
9,15,213,2355,1,0.977,0.042
9,16,204,2341,6,0.96,0.256
9,17,182,2281,4,0.962,0.175
9,18,226,2566,4,0.973,0.156
9,19,236,2414,9,0.965,0.373
9,20,238,2219,3,0.975,0.135
9,21,232,2410,0,0.966,0.0
9,22,262,2743,10,0.973,0.364
9,23,228,2697,3,0.964,0.111
9,24,257,2433,2,0.979,0.082
10,1,264,2603,2,0.974,0.077
10,2,232,2645,11,0.974,0.416
10,3,236,2617,5,0.965,0.191
10,4,232,2489,15,0.971,0.602
10,5,225,2315,3,0.972,0.13
10,6,242,2401,2,0.972,0.083
10,7,240,2370,6,0.971,0.253
10,8,209,2261,11,0.972,0.486
10,9,203,2323,13,0.962,0.559
10,10,240,2548,1,0.974,0.039
10,11,225,2254,7,0.976,0.31
10,12,229,2346,3,0.97,0.128
10,13,196,2212,2,0.968,0.09
10,14,252,2920,2,0.97,0.068
10,15,214,2600,13,0.966,0.5
10,16,217,2313,8,0.971,0.346
10,17,243,2570,0,0.973,0.0
10,18,234,2775,3,0.972,0.108
10,19,188,2267,20,0.965,0.882
10,20,237,2445,9,0.967,0.368
10,21,217,2232,6,0.972,0.269
10,22,237,2649,7,0.969,0.264
10,23,225,2333,7,0.975,0.3
10,24,219,2068,12,0.978,0.58
