season,episode,total_lines,total_words,unique_characters,imdb_rating,vote_count,sci_density_per_100_words,avg_type_token_ratio
6,13,214,2404,13,8.4,4573,0.208,0.964
6,14,199,2341,8,7.7,4024,0.598,0.965
6,15,220,2584,8,8.2,4176,0.077,0.965
6,16,207,2477,12,7.8,4057,0.242,0.964
6,17,154,2101,10,7.6,3906,0.143,0.955
6,18,127,2233,11,7.7,3985,0.224,0.948
6,19,222,2417,9,8.1,4239,0.041,0.972
6,20,201,2310,10,8.0,4069,0.433,0.97
6,21,170,2311,8,8.0,4041,0.216,0.962
6,22,201,2253,10,7.9,4193,1.553,0.961
6,23,191,2292,12,8.1,4196,0.0,0.958
6,24,209,2771,8,7.7,3988,0.289,0.965
7,1,215,2445,13,7.7,4423,0.164,0.957
7,2,243,2679,9,7.9,4366,0.149,0.967
7,3,241,2509,11,8.7,5344,0.359,0.955
7,4,194,2617,12,7.8,4069,0.0,0.963
7,5,409,4978,9,7.6,3887,0.522,0.967
7,6,203,2705,9,8.4,4633,0.998,0.955
7,7,219,2493,10,7.7,3958,0.601,0.959
7,8,190,2531,9,7.5,3937,0.158,0.959
7,9,231,2421,10,8.8,5487,0.083,0.977
7,10,212,2759,13,7.6,3699,0.761,0.96
7,11,240,2285,15,8.1,4148,0.175,0.966
7,12,228,2285,14,7.4,3758,0.306,0.972
7,13,261,2549,12,7.5,3753,0.0,0.971
7,14,204,2503,11,8.0,4107,0.0,0.963
7,15,219,2485,11,8.2,4244,0.121,0.967
7,16,243,2743,13,7.6,3656,0.255,0.969
7,17,211,2589,9,7.4,3602,0.154,0.965
7,18,237,2707,10,7.4,3692,0.295,0.97
7,19,220,2431,12,8.1,3959,0.206,0.97
7,20,219,2406,11,8.0,3732,1.496,0.967
7,21,191,2358,9,7.5,3569,0.593,0.967
7,22,211,2294,8,7.7,3754,0.436,0.966
7,23,228,2384,13,7.8,3717,0.126,0.965
7,24,248,2577,11,8.0,3824,0.388,0.972
8,1,200,2703,13,7.2,4317,0.185,0.954
8,2,212,2530,9,7.5,4043,1.225,0.968
8,3,205,2260,11,7.0,3978,0.221,0.966
8,4,239,2608,9,7.2,3756,0.115,0.973
8,6,234,2985,8,7.2,3714,0.737,0.963
8,7,225,2352,13,7.7,4072,0.17,0.973
8,8,213,2616,12,8.0,4089,0.153,0.956
8,9,223,2614,7,7.5,3644,0.153,0.971
