season,episode,total_lines,total_words,unique_characters,imdb_rating,vote_count
4,7,214,2582,8,8.0,4462
4,8,208,2477,10,8.1,4476
4,9,237,2731,8,8.4,4676
4,10,211,2409,8,7.6,4334
4,11,226,2060,8,8.6,4965
4,12,231,2785,5,7.5,4320
4,13,226,2358,9,8.2,4660
4,14,200,2401,7,7.7,4389
4,15,208,2433,8,7.7,4352
4,16,228,2372,9,7.8,4208
4,17,229,2718,13,7.9,4238
4,18,232,2334,7,8.1,4430
4,19,244,2541,11,8.0,4304
4,20,238,2458,11,8.2,4302
4,21,200,2086,13,8.2,4418
4,22,232,2393,12,7.7,4178
4,23,230,2342,9,8.1,4254
4,24,211,2254,10,8.5,4527
5,1,185,2317,10,8.0,4910
5,2,201,1974,9,8.0,4425
5,3,182,2119,7,7.6,4247
5,4,186,2382,9,7.8,4315
5,5,234,2711,12,8.0,4275
5,6,184,2796,8,7.5,4208
5,7,197,2079,11,8.5,5058
5,8,197,2431,7,7.6,4166
5,9,195,2468,11,8.1,4383
5,10,184,2286,10,7.9,4221
5,11,233,2618,8,7.3,4204
5,12,182,2500,10,7.6,4192
5,13,245,2431,8,8.1,4432
5,14,169,2076,12,8.2,4415
5,15,185,2579,10,7.7,4049
5,16,201,2808,9,7.5,4027
5,17,218,2423,12,7.7,4132
5,18,168,2364,10,8.2,4343
5,19,189,2701,9,8.1,4151
5,20,222,2585,13,8.0,4280
5,21,186,2123,7,8.5,4735
5,22,185,2638,12,7.7,4097
5,23,184,2327,10,8.1,4063
5,24,188,2191,15,8.5,4597
6,1,215,2293,9,7.6,5062
6,2,223,2269,10,7.6,4208
6,3,195,2327,9,7.9,4233
6,4,210,2031,15,8.2,4539
6,5,215,2452,10,8.0,4198
6,6,193,2632,8,7.8,4037
6,7,184,2628,9,7.6,4018
6,8,223,2236,8,8.4,4596
6,9,200,2343,8,8.2,4488
6,10,168,2111,7,8.0,4264
6,11,209,2807,9,7.8,4098
6,12,198,2714,10,8.4,4557
6,13,214,2404,13,8.4,4573
6,14,199,2341,8,7.7,4024
6,15,220,2584,8,8.2,4176
6,16,207,2477,12,7.8,4057
6,17,154,2101,10,7.6,3906
6,18,127,2233,11,7.7,3985
6,19,222,2417,9,8.1,4239
6,20,201,2310,10,8.0,4069
6,21,170,2311,8,8.0,4041
6,22,201,2253,10,7.9,4193
6,23,191,2292,12,8.1,4196
6,24,209,2771,8,7.7,3988
7,1,215,2445,13,7.7,4423
7,2,243,2679,9,7.9,4366
7,3,241,2509,11,8.7,5344
7,4,194,2617,12,7.8,4069
7,5,409,4978,9,7.6,3887
7,6,203,2705,9,8.4,4633
7,7,219,2493,10,7.7,3958
7,8,190,2531,9,7.5,3937
7,9,231,2421,10,8.8,5487
7,10,212,2759,13,7.6,3699
7,11,240,2285,15,8.1,4148
7,12,228,2285,14,7.4,3758
7,13,261,2549,12,7.5,3753
7,14,204,2503,11,8.0,4107
7,15,219,2485,11,8.2,4244
7,16,243,2743,13,7.6,3656
7,17,211,2589,9,7.4,3602
7,18,237,2707,10,7.4,3692
7,19,220,2431,12,8.1,3959
7,20,219,2406,11,8.0,3732
7,21,191,2358,9,7.5,3569
7,22,211,2294,8,7.7,3754
7,23,228,2384,13,7.8,3717
7,24,248,2577,11,8.0,3824
8,1,200,2703,13,7.2,4317
8,2,212,2530,9,7.5,4043
8,3,205,2260,11,7.0,3978
8,4,239,2608,9,7.2,3756
8,6,234,2985,8,7.2,3714
8,7,225,2352,13,7.7,4072
8,8,213,2616,12,8.0,4089
8,9,223,2614,7,7.5,3644
8,10,206,2530,12,7.0,3714
8,11,212,2364,10,7.4,3611
8,12,214,2701,7,7.2,3503
8,13,200,2503,9,7.4,3498
8,14,224,2545,13,8.0,3801
8,15,229,2554,12,8.1,3891
8,16,214,2483,13,7.8,3662
8,17,212,2262,9,7.5,3452
8,18,230,2504,10,7.3,3437
8,19,204,2669,10,7.5,3456
8,20,235,2677,15,7.5,3429
8,21,225,2679,13,7.0,3347
8,22,203,2160,13,7.3,3408
8,23,195,2266,10,7.5,3496
8,24,256,2439,9,7.9,3920
9,1,249,2449,11,6.8,4309
9,2,202,2395,8,7.3,3699
9,3,219,2350,7,7.7,3779
9,4,181,2394,11,7.4,3567
9,5,199,2272,11,7.4,3485
9,6,245,2737,12,7.2,3557
9,7,192,2277,10,7.9,3669
9,8,229,2516,11,7.9,3682
9,9,228,2656,13,7.7,3685
9,10,192,2445,9,8.3,4144
9,11,221,2219,12,9.0,6017
9,12,234,2570,10,7.4,3318
9,13,218,2458,10,7.4,3342
9,14,242,2718,11,7.5,3395
9,15,213,2355,13,7.5,3336
9,16,204,2341,9,7.4,3468
9,17,182,2281,17,7.6,3494
9,18,226,2566,10,7.5,3270
9,19,236,2414,8,7.4,3193
9,20,238,2219,7,7.4,3168
9,21,232,2410,8,7.4,3164
9,22,262,2743,9,7.4,3103
9,23,228,2697,11,7.4,3114
9,24,257,2433,12,7.8,3516
10,1,264,2603,16,7.8,4081
10,2,232,2645,12,7.3,3328
10,3,236,2617,12,7.2,3212
10,4,232,2489,7,7.9,3493
10,5,225,2315,8,7.4,3166
10,6,242,2401,15,7.4,3231
10,7,240,2370,10,7.9,3424
10,8,209,2261,9,8.0,3538
10,9,203,2323,12,7.4,3122
10,10,240,2548,10,7.3,3129
10,11,225,2254,9,7.6,3189
10,12,229,2346,9,7.3,3211
10,13,196,2212,7,6.9,3085
10,14,252,2920,10,7.2,3025
10,15,214,2600,9,7.3,2986
10,16,217,2313,9,7.1,2894
10,17,243,2570,8,7.4,2948
10,18,234,2775,10,7.1,2898
10,19,188,2267,7,7.1,2951
10,20,237,2445,11,7.2,2916
10,21,217,2232,11,7.2,2953
10,22,237,2649,8,6.8,2906
10,23,225,2333,10,7.1,2856
10,24,219,2068,10,8.6,4000
